Tópico,Qtd. de poemas,Palavras mais frequentes,Rótulo atribuído
T0,82,amor | vida | sempre | amar | coração | viver | fazer | sei | tudo | agora,Amar e viver
T1,55,tudo | mundo | sempre | vida | amor | nunca | pode | ninguém | dia | alegria,Constâncias da vida e do amor
T2,49,vida | amor | coração | solidão | dia | tempo | pouco | alegria | sentimentos | felicidade,Sentimentos
T3,37,poema | palavras | poesia | tempo | faz | lá | mundo | fazer | vida | pode,Poema e poesia
T4,37,amor | sempre | vida | tudo | mundo | sabe | amar | coração | alguém | tempo,Amor
T5,28,amor | vida | palavras | deus | sinto | dor | alma | coração | mundo | eterno,Amor e espiritualidade
T6,27,alegria | brincar | pular | dia | criança | dançar | cantar | correr | bom | viver,Infância
T7,27,mundo | onde | pessoas | país | nação | crianças | futuro | brasil | pobre | desigualdade,Realidade brasileira
T8,23,amor | vida | alma | tudo | sentido | sei | ainda | futuro | viver | amar,Amor e incertezas
T9,22,vida | ruins | alegria | momentos | dia | bons | sei | tudo | sorrisos | coisas,Momentos e dualidades da vida
T10,21,mundo | deus | sonhos | vida | desistir | sonho | sonhar | coração | acreditar | nunca,Sonhos
T11,20,mundo | tempo | bem | vida | chão | dia | passar | repente | porta | alto,Rotina / passagem do tempo
T12,19,vida | paixão | poesia | sentimento | quer | contagia | coração | ilusão | encontrar | falar,Paixões
T13,19,alegria | coração | povo | nordeste | gente | onde | país | sol | aqui | terra,Povo nordestino
T14,19,coração | amor | bela | faz | flor | sempre | nunca | encanta | amizade | tudo,Idealização do amor e da amizade
T15,18,aqui | gente | tudo | chão | vida | água | mundo | tempo | ajuda | melhor,Natureza local
T16,15,lá | felicidade | cores | belas | água | noite | vida | pessoas | terra | canção,Contemplação do lugar
T17,15,posso | mar | onde | bem | céu | lá | luz | infinito | estrelas | lugar,Contemplação da natureza
T18,12,amor | coração | dor | sentimento | faz | primeiro | conta | enche | vezes | saudades,Amor melancólico
T19,12,fazer | viver | escolher | vida | errar | melhor | lutar | escolhas | ajudar | tentar,Viver / tentativas e escolhas
T20,12,quero | vida | dias | história | vejo | sabe | ver | fazer | vez | passado,Desejos / percepções
T21,10,verdade | sempre | difícil | depois | amor | vida | tudo | meio | redor | acho,Busca pela verdade / frustrações
T22,9,fazer | vez | final | tempo | negro | amor | verde | chama | vermelho | preto,Cores
T23,9,dinheiro | vida | hora | amar | pensando | ainda | feliz | aqui | contar | tudo,Planos
T24,8,aluno | tudo | professor | vida | dá | dar | valor | sempre | carinho | amigo,Educação
T25,8,século | xxi | amor | vento | bem | pleno | hoje | homem | alegria | contagia,Atualidades
T26,8,natureza | mundo | podemos | seres | sociedade | animais | cuidar | precisamos | salvar | culpa,O homem e a natureza
T27,7,tempo | saudades | lembranças | agora | sentir | sinto | saudade | tempos | sempre | dia,Lembranças / nostalgia
T28,7,coração | hoje | fim | dar | sempre | amanhã | sei | ainda | melhor | juntos,O tempo
T29,7,tudo | sertão | terra | água | sol | sede | seca | fazer | deus | chuva,A seca no sertão
T30,6,tudo | dia | vejo | coração | fez | fim | começo | luz | agradecer | jesus,Religiosidade
T31,6,árvores | noite | olhar | vida | outono | tempo | primavera | verão | folhas | triste,A natureza e a passagem do tempo
T32,5,desistir | conseguir | podemos | bola | time | vem | final | gol | nunca | desistência,Persistência e desistência
T33,5,fazem | dinheiro | pessoas | estrelas | famosos | daqui | mão | ficar | jeito | passarem,Fama
T34,4,rei | parte | homem | baião | luiz | sertão | gonzaga | grandes | peão | asa,Figuras regionais
T35,3,vida | ainda | leões | acha | força | ninguém | sonhos | caminho | acredita | seguir,Ambição e resiliência
T36,3,gosto | letras | faço | dá | menina | escrevo | palavras | feliz | medo | silêncio,Escrever
T37,2,complexo | poesia | lírico | caso | plena | descontente | versos | tema | ar | apaixonado,Poesia
T38,2,alguém | regras | vezes | mal | rua | rap | direito | fato | esconde | bastante,-
T39,2,aqui | tudo | geo | conhecimento | incríveis | tempos | sonho | inesquecíveis | amigos | perfeitas,-
T40,1,sentia | cabeça | perdida | alvorada | extensão | pena | chamado | amargo | dever | noite,-
T41,1,busca | feliz | vida | pedra | chegou | sabemos | nada | encontrar | pode | entrar,-
T42,1,dentro | tipo | diferenças | realmente | festeiro | encaixo | estuda | aula | estudante | atrasado,-
T43,1,gotas | céu | chorava | lágrimas | chuva | anjo,-